"filename", "language", "JavaScript", "JavaScript JSX", "XML", "comment", "blank", "total"
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\App.jsx", "JavaScript JSX", 0, 39, 0, 6, 12, 57
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\assets\react.svg", "XML", 0, 0, -1, 0, 0, -1
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\assets\vite.svg", "XML", 0, 0, -1, 0, -1, -2
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\components\BillingSettings.jsx", "JavaScript JSX", 0, 60, 0, 2, 4, 66
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\components\UpgradeBanner.jsx", "JavaScript JSX", 0, 59, 0, 1, 3, 63
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\components\auth\Auth.jsx", "JavaScript JSX", 0, -123, 0, 0, -15, -138
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\components\auth\ForgotPassword.jsx", "JavaScript JSX", 0, 184, 0, 0, 25, 209
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\components\auth\LoginForm.jsx", "JavaScript JSX", 0, 59, 0, 7, 12, 78
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\components\auth\RegisterForm.jsx", "JavaScript JSX", 0, 113, 0, 0, 13, 126
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\components\e2ee.jsx", "JavaScript JSX", 0, 61, 0, 1, 8, 70
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\components\trackers\TrackerCard.jsx", "JavaScript JSX", 0, 454, 0, 11, 9, 474
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\components\trackers\TrackerDashboard.jsx", "JavaScript JSX", 0, 280, 0, 17, 13, 310
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\components\trackers\TrackerDetail.jsx", "JavaScript JSX", 0, 233, 0, 5, 30, 268
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\components\trackers\TrackerForm.jsx", "JavaScript JSX", 0, -63, 0, -6, -1, -70
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\components\trackers\TrackerList.jsx", "JavaScript JSX", 0, 86, 0, 6, 9, 101
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\pages\CustomPage.jsx", "JavaScript JSX", 0, -43, 0, 0, -7, -50
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\pages\Homepage.jsx", "JavaScript JSX", 0, 767, 0, 21, 109, 897
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\pages\Unitrack.jsx", "JavaScript JSX", 0, 168, 0, 11, 25, 204
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\utils\e2ee.js", "JavaScript", 143, 0, 0, 21, 26, 190
"Total", "-", 143, 2334, -2, 103, 274, 2852
