"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\App.css", "PostCSS", 0, 0, 0, 0, 1, 1
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\App.jsx", "JavaScript JSX", 0, 71, 0, 9, 15, 95
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\components\BillingSettings.jsx", "JavaScript JSX", 0, 60, 0, 2, 4, 66
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\components\UpgradeBanner.jsx", "JavaScript JSX", 0, 59, 0, 1, 3, 63
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\components\auth\ForgotPassword.jsx", "JavaScript JSX", 0, 184, 0, 0, 25, 209
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\components\auth\LoginForm.jsx", "JavaScript JSX", 0, 179, 0, 7, 26, 212
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\components\auth\RegisterForm.jsx", "JavaScript JSX", 0, 259, 0, 2, 31, 292
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\components\e2ee.jsx", "JavaScript JSX", 0, 61, 0, 1, 8, 70
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\components\trackers\TrackerCard.jsx", "JavaScript JSX", 0, 919, 0, 11, 56, 986
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\components\trackers\TrackerDashboard.jsx", "JavaScript JSX", 0, 463, 0, 19, 38, 520
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\components\trackers\TrackerDetail.jsx", "JavaScript JSX", 0, 233, 0, 5, 30, 268
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\components\trackers\TrackerFilters.jsx", "JavaScript JSX", 0, 153, 0, 3, 8, 164
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\components\trackers\TrackerForm.jsx", "JavaScript JSX", 0, 266, 0, 0, 29, 295
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\components\trackers\TrackerList.jsx", "JavaScript JSX", 0, 140, 0, 7, 11, 158
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\index.css", "PostCSS", 0, 0, 0, 0, 1, 1
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\main.jsx", "JavaScript JSX", 0, 25, 0, 2, 2, 29
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\pages\Homepage.jsx", "JavaScript JSX", 0, 1099, 0, 33, 157, 1289
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\pages\Notfound.jsx", "JavaScript JSX", 0, 70, 0, 0, 5, 75
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\pages\Unitrack.jsx", "JavaScript JSX", 0, 168, 0, 11, 25, 204
"c:\Users\adeni\OneDrive\Documents\React\myLv3Project\src\utils\e2ee.js", "JavaScript", 143, 0, 0, 21, 26, 190
"Total", "-", 143, 4409, 0, 134, 501, 5187
